Data;Tipo;Categoria;Descrição;Fornecedor;Fatura;Valor;Pagamento;Origem;Observações;DocInterno
2026-06-14;entrada;Empréstimo Sócio;Entrada de capital do sócio (total das despesas de arranque);;;4988379,88;Transferência;socio;;FAT-001
2026-06-14;despesa;Pintura Exterior;Tinta para pintura exterior;Achour - Comércio Geral;829;265000,00;Cartão Multicaixa;socio;;FAT-002
2026-06-25;despesa;Internet / Telefone;Telemóvel secretaria;Mobismart;202606251721242870014;106000,00;Cartão Multicaixa;socio;;FAT-003
2026-06-25;despesa;Internet / Telefone;Telemóvel direcção pedagógica;Mobismart;202606251717116930013;106000,00;Cartão Multicaixa;socio;;FAT-004
2026-06-25;despesa;Internet / Telefone;Cartão SIM 945402542;Unitel;FR4426S42818N/174541;250,01;Cartão Multicaixa;socio;;FAT-005
2026-06-25;despesa;Internet / Telefone;Cartões SIM (3 números);Unitel;FR4426S42818N/174538;750,03;Cartão Multicaixa;socio;;FAT-006
2026-06-25;despesa;Material de Escritório;Material de escritório;KERO;FR8326S25915N/6523;17253,00;Cartão Multicaixa;socio;;FAT-007
2026-06-26;despesa;Equipamentos;4 tinteiros HP Officejet Pro 7740;NCR;FR4726S809N/35071;158189,82;Cartão Multicaixa;socio;;FAT-008
2026-06-26;despesa;Outras Despesas;2 fechaduras;Sahal Trading - Imp. & Exp.;RTJ2026/1157;13100,00;Transferência Express;socio;;FAT-009
2026-07-01;despesa;Pintura Exterior;Tintas exterior e material construção;Comércio Geral - Imp. & Exp.;1083;58500,00;Transferência;socio;;FAT-010
2026-07-03;despesa;Outras Despesas;Estuque e lixas;M.N.A. SD. RAHMA;;31000,00;Transferência;socio;;FAT-011
2026-07-08;despesa;Pintura Exterior;Tintas e material de pintura;Achour - Comércio Geral;805;128000,00;Cartão Multicaixa;socio;;FAT-012
2026-07-08;despesa;Publicidade Exterior;Impressão lona pesada 300x900;Gráfica TAMACO;AFA7F84768594FCA;85000,00;Cartão Multicaixa;socio;;FAT-013
2026-07-11;despesa;Panfletos / Publicidade;Impressão 500 panfletos A5;Gráfica TAMACO;;100000,00;Transferência;socio;;FAT-014
2026-07-17;despesa;Equipamentos;8 lâmpadas fluorescentes + arrancadores;DDH - Comércio Geral;2441;13600,00;Transferência Express;socio;;FAT-015
2026-07-17;despesa;Material Serralharia;Material para serralharia;DKJF;029;365000,00;Cartão Multicaixa;socio;;FAT-016
2026-07-18;despesa;Equipamentos;5 garrafões gasóleo 20L;Sonangol Distribuidora;FR 202655/21059;42000,00;Dinheiro;socio;;FAT-017
2026-07-19;despesa;Publicidade Exterior;Impressão vinil 150x350;Gráfica TAMACO;7101738663;30000,00;Transferência;socio;;FAT-018
2026-07-21;despesa;Outras Despesas;Corrente + cadeado grande;Praça;0279716;19000,00;Dinheiro;socio;;FAT-019
2026-07-22;despesa;Equipamentos;Material manutenção gerador;Beledear Comércio Geral;FT 2026/1862;348500,02;Transferência;socio;;FAT-020
2026-07-23;despesa;Outras Despesas;20m rede para sombra;Comércio Geral - Imp. & Exp.;1254;50000,00;Transferência Express;socio;;FAT-021
2026-07-23;despesa;Equipamentos;Conserto bomba injetora gerador;;;25000,00;Transferência Express;socio;;FAT-022
2026-07-23;despesa;Pintura Exterior;3 baldes tinta Coelho amarelo;Bouke Salem;367;150000,00;Transferência;socio;;FAT-023
2026-07-23;despesa;Pintura Exterior;Tintas de óleo para decoração exterior;;;97000,00;Transferência Express;socio;;FAT-024
2026-07-23;despesa;Transporte s/ Fatura;Táxi funcionário (Pedro Pintor);;;2000,00;Cartão Multicaixa;socio;;FAT-025
2026-07-23;despesa;Transporte s/ Fatura;Táxi funcionário (Ribeiro);;;2000,00;Transferência;socio;;FAT-026
2026-07-23;despesa;Publicidade Exterior;Impressão 3 peças vinil exterior;;;16200,00;Transferência;socio;;FAT-027
2026-07-23;despesa;Serralharia;Mão de obra serralheiro;;;50000,00;Transferência Express;socio;;FAT-028
2026-07-23;despesa;Mão de Obra;Mão de obra mecânico;;;45000,00;Transferência Express;socio;;FAT-029
2026-07-24;despesa;Serralharia;Trabalhos de serralharia + transporte;Serralheiro;;360000,00;Transferência Express;socio;;FAT-030
